Time,linear.x,linear.y,linear.z,angular.x,angular.y,angular.z
1648214229.4102259,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214229.4108403,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214229.4297123,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214229.4297636,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214229.4304106,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214229.4497614,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214229.449927,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214229.4697704,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214229.4699638,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214229.4897292,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214229.5098505,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214229.5098755,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214229.510216,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214229.5298622,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214229.5497713,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214229.5698764,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214229.569893,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214229.5899768,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214229.590012,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214229.6098342,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214229.6098528,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214229.6298146,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214229.6298282,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214229.6498394,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214229.669901,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214229.690038,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214229.709745,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214229.709769,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214229.7299669,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214229.730585,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214229.7498796,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214229.7500117,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214229.7699506,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214229.790128,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214229.8098772,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214229.8301241,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214229.8304274,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214229.8498046,-0.004197406070306898,-0.0,-0.0,-0.0,-0.0,-0.0
1648214229.8697088,-0.008567102160304787,-0.0,-0.0,-0.0,-0.0,-0.0
1648214229.8698275,-0.07412814348936082,-0.0,-0.0,-0.0,-0.0,-0.0
1648214229.8919413,-0.11782509684562685,-0.0,-0.0,-0.0,-0.0,-0.0
1648214229.9094503,-0.179016450047493,-0.0,-0.0,-0.0,-0.0,-0.0
1648214229.9293783,-0.24457749724388125,-0.0,-0.0,-0.0,-0.0,-0.0
1648214229.9493685,-0.3145082116127015,-0.0,-0.0,-0.0,-0.0,-0.0
1648214229.9694135,-0.345111706852913,-0.0,-0.0,-0.0,-0.0,-0.0
1648214229.9896686,-0.34948140084743506,-0.0,-0.0,-0.0,-0.0,-0.0
1648214229.9896765,-0.34948140084743506,-0.0,-0.0,-0.0,-0.0,-0.0
1648214230.0097005,-0.34948140084743506,-0.0,-0.0,-0.0,-0.0,-0.0
1648214230.0097096,-0.34948140084743506,-0.0,-0.0,-0.0,-0.0,-0.0
1648214230.0298913,-0.35385109484195715,-0.0,-0.0,-0.0,-0.0,-0.0
1648214230.0299053,-0.35385109484195715,-0.0,-0.0,-0.0,-0.0,-0.0
1648214230.0299244,-0.34948140084743506,-0.0,-0.0,-0.0,-0.0,-0.0
1648214230.0496652,-0.34948140084743506,-0.0,-0.0,-0.0,-0.0,-0.0
1648214230.069746,-0.35385109484195715,-0.0,-0.0,-0.0,-0.0,-0.0
1648214230.0697715,-0.34948140084743506,-0.0,-0.0,-0.0,-0.0,-0.0
1648214230.0700355,-0.34948140084743506,-0.0,-0.0,-0.0,-0.0,-0.0
1648214230.0899496,-0.34948140084743506,-0.0,-0.0,-0.0,-0.0,-0.0
1648214230.1099074,-0.345111706852913,-0.0,-0.0,-0.0,-0.0,-0.0
1648214230.1099298,-0.32763290405273443,-0.0,-0.0,-0.0,-0.0,-0.0
1648214230.1297727,-0.3145082116127015,-0.0,-0.0,-0.0,-0.0,-0.0
1648214230.129789,-0.30576882362365726,-0.0,-0.0,-0.0,-0.0,-0.0
1648214230.149716,-0.2839203536510468,-0.0,-0.0,-0.0,-0.0,-0.0
1648214230.1498988,-0.27081127166748054,-0.0,-0.0,-0.0,-0.0,-0.0
1648214230.1699789,-0.2620718836784363,-0.0,-0.0,-0.0,-0.0,-0.0
1648214230.189958,-0.2664415776729584,-0.0,-0.0,-0.0,-0.0,-0.0
1648214230.20981,-0.2620718836784363,-0.0,-0.0,-0.0,-0.0,-0.0
1648214230.209827,-0.2620718836784363,-0.0,-0.0,-0.0,-0.0,-0.0
1648214230.2298522,-0.2664415776729584,-0.0,-0.0,-0.0,-0.0,-0.0
1648214230.2498136,-0.2620718836784363,-0.0,-0.0,-0.0,-0.0,-0.0
1648214230.2517183,-0.2620718836784363,0.0,-0.0,-0.0,-0.0,-0.0
