Time,linear.x,linear.y,linear.z,angular.x,angular.y,angular.z
1648214345.5101554,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214345.5106254,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214345.5107493,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214345.5295298,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214345.5498445,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214345.5697532,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214345.5897214,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214345.6097312,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214345.6298006,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214345.6298418,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214345.6499481,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214345.650071,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214345.669798,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214345.689801,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214345.6898377,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214345.6899579,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214345.7097619,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214345.7298176,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214345.7497714,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214345.749833,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214345.7699375,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214345.7899277,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214345.8096924,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214345.8101542,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214345.82947,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214345.829516,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214345.8494818,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214345.8494887,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214345.8696613,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214345.8898675,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214345.8898869,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214345.909756,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214345.9296806,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214345.9297168,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214345.9497771,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214345.9698405,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214345.997953,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
