X,Y,ORIENTATION,LS 0-179,LC 180-359,LD 360-539
0.000000000000000000e+00,0.000000000000000000e+00,4.474317470506142952e-02,7.382777836587693931e-01,2.085611101653841004e+00,4.756408796784627135e+00
0.000000000000000000e+00,0.000000000000000000e+00,4.474317470506142952e-02,7.376111182901594621e-01,2.088499998549620429e+00,4.638397767398897642e+00
0.000000000000000000e+00,0.000000000000000000e+00,4.474317470506142952e-02,7.391666745146115991e-01,2.086166658335261825e+00,4.758287259886937015e+00
0.000000000000000000e+00,0.000000000000000000e+00,4.474317470506142952e-02,7.385555610060692278e-01,2.086722217665778256e+00,4.758121506285272417e+00
0.000000000000000000e+00,0.000000000000000000e+00,4.474317470506142952e-02,7.382222291496064459e-01,2.085055552257431888e+00,4.757458526126587373e+00
-5.556958561722113998e-03,-4.035011679900391002e-04,4.481368002817560925e-02,7.421111174755625761e-01,1.991555555827087876e+00,4.635248589910855088e+00
-1.331837071493890967e-02,-7.867760549454816399e-04,4.502765410822372888e-02,7.496666719516118516e-01,2.002611107130845447e+00,4.753370130918302294e+00
-1.331837071493890967e-02,-7.867760549454816399e-04,4.502765410822372888e-02,7.633333370089531167e-01,2.142777772910064993e+00,4.860552451887182990e+00
-3.195633052465707280e-02,-1.482304522362309918e-03,4.445024995084377595e-02,7.887222251958316832e-01,2.093722222579850190e+00,4.599226482665341287e+00
-4.595813469225185077e-02,-2.050198625843879796e-03,4.546332406884642796e-02,7.980555579066276328e-01,2.207833327353000641e+00,4.353591140462548914e+00
-4.595813469225185077e-02,-2.050198625843879796e-03,4.546332406884642796e-02,8.046111123429404710e-01,2.098833332955837072e+00,4.469613228054995169e+00
-5.683935191828370925e-02,-2.213801317323238482e-03,4.582919420675420769e-02,8.153333375851313791e-01,2.532833314107524103e+00,4.474419863843127843e+00
-7.491035168917892229e-02,-2.889917446538881052e-03,4.516226267054326837e-02,8.253333356645372598e-01,2.291888877087169263e+00,4.582375650247816345e+00
-7.491035168917892229e-02,-2.889917446538881052e-03,4.516226267054326837e-02,8.371666701303588365e-01,2.372999992801083646e+00,4.563977869834689116e+00
-1.020523362332405037e-01,-4.612601839527719072e-03,4.458974509407268028e-02,8.532777773009405653e-01,2.515611097878879931e+00,4.478563495762440283e+00
-1.262268586992048025e-01,-5.586831597694852380e-03,4.621982179745034308e-02,8.824444446298811418e-01,3.284944401184717755e+00,4.523425410465640617e+00
-1.262268586992048025e-01,-5.586831597694852380e-03,4.621982179745034308e-02,8.926666681965191863e-01,2.914055530230204472e+00,4.682928149871404599e+00
-1.262268586992048025e-01,-5.586831597694852380e-03,4.621982179745034308e-02,9.012777787115838768e-01,3.081055525773101600e+00,4.436519318522669231e+00
-1.685486689373697500e-01,-7.607661282046429552e-03,4.518444260842793825e-02,9.105555537674162592e-01,2.977666639950540262e+00,4.293204410300070606e+00
-1.822589011524026192e-01,-8.380434206487485937e-03,4.550693500913803591e-02,9.315555529461966300e-01,3.030333302418390939e+00,4.107292833907828289e+00
-1.822589011524026192e-01,-8.380434206487485937e-03,4.550693500913803591e-02,9.461666653553645334e-01,2.989722205201784888e+00,4.516187839086542866e+00
-2.131366019577797255e-01,-9.495841988893749530e-03,4.586674342690218176e-02,9.599444448947906938e-01,2.832888877060678379e+00,4.244806637421497442e+00
-2.131366019577797255e-01,-9.495841988893749530e-03,4.586674342690218176e-02,9.775555574231677980e-01,2.736611114939053735e+00,4.134751396284577218e+00
-2.485629811768604869e-01,-1.118554104241681335e-02,4.390974942522921781e-02,1.007555552985933023e+00,2.886833334300253018e+00,4.159723748159671608e+00
-2.881645669673714716e-01,-2.012152233586886330e-02,4.635595603638362899e-02,1.023000002900759320e+00,3.018388877974615969e+00,4.108508273382871501e+00
-2.881645669673714716e-01,-2.012152233586886330e-02,4.635595603638362899e-02,1.036833333969116255e+00,3.122388875153329746e+00,4.184640867275427389e+00
-3.200382090415277991e-01,-2.174964201254600549e-02,4.719104431662268090e-02,1.063555553224351691e+00,3.087499998013178537e+00,4.049668485947076846e+00
-3.534320803717109216e-01,-2.311412398893711306e-02,4.721347833074572564e-02,1.078000005748536827e+00,3.161000005735291385e+00,3.833977888960864444e+00
-3.534320803717109216e-01,-2.311412398893711306e-02,4.721347833074572564e-02,1.090388889445198961e+00,3.199722219838036619e+00,4.021215441477233199e+00
-3.534320803717109216e-01,-2.311412398893711306e-02,4.721347833074572564e-02,1.105166665381855484e+00,3.444722208049562084e+00,3.838508270063452965e+00
-4.193588422482971145e-01,-2.618857750896305681e-02,4.639296249010142759e-02,1.127388893233405298e+00,3.358777778347333154e+00,3.771160198838671374e+00
-4.357951302174135622e-01,-2.691300681563477126e-02,4.630782341718826106e-02,1.139166665739483220e+00,3.508166650599903402e+00,3.623259662923233204e+00
-4.357951302174135622e-01,-2.691300681563477126e-02,4.630782341718826106e-02,1.148277774453163147e+00,3.802888859311739811e+00,3.731215465134678499e+00
-4.669241684992874175e-01,-2.820361847570859726e-02,4.735912570464377580e-02,1.165055555105209306e+00,3.784333308537801255e+00,3.713149166238900900e+00
-4.903895886096319989e-01,-1.496250532599069372e-02,4.746551650710491982e-02,1.181111109256744340e+00,3.732111094395319739e+00,3.596408832139073031e+00
-4.903895886096319989e-01,-1.496250532599069372e-02,4.746551650710491982e-02,1.185888884133762700e+00,3.741555547051959696e+00,3.608453027451235862e+00
-5.149241386147799249e-01,-1.617727944924554628e-02,4.872936475877387430e-02,1.192611107561323269e+00,3.881555545661184325e+00,3.460331507809254248e+00
-5.149241386147799249e-01,-1.617727944924554628e-02,4.872936475877387430e-02,1.211111107137468057e+00,3.673944434854719443e+00,3.428508296855905524e+00
-5.361891600433227323e-01,-1.767075813901652914e-02,4.814093361735580917e-02,1.212888889511426260e+00,3.950777748889393148e+00,3.544033138132885785e+00
-5.328900896815832455e-01,-1.756800837305252938e-02,4.838397735535684280e-02,1.213888885577519838e+00,3.952111098832554070e+00,3.425414368592573311e+00
-5.328900896815832455e-01,-1.756800837305252938e-02,4.838397735535684280e-02,1.210111111402511597e+00,3.963777747750282465e+00,3.432762435786631983e+00
-5.267859798725723630e-01,-1.722307571695796957e-02,4.868378527711495624e-02,1.208333334657881064e+00,3.793499983681572818e+00,3.438121555918487893e+00
-5.267859798725723630e-01,-1.722307571695796957e-02,4.868378527711495624e-02,1.208444443676206737e+00,3.928555529647403510e+00,3.435359117734498202e+00
-5.315742008978584510e-01,-1.948408936878529008e-02,4.954088702848070958e-02,1.211166663964589496e+00,3.963944428496890549e+00,3.431270720550368303e+00
-5.316192169778833909e-01,-1.953380224858758396e-02,4.956714637349830116e-02,1.211222223109669205e+00,3.799222208393944644e+00,3.432209954077367620e+00
-5.306323805489802092e-01,-2.086693770507130896e-02,4.908175632256672749e-02,1.210722223255369379e+00,3.812166661686367419e+00,3.432486188345851286e+00
-5.295320811536071703e-01,-2.799956217015350801e-02,4.979791055727278426e-02,1.212333335810237500e+00,3.764388885762956605e+00,3.432817672497659789e+00
-5.295320811536071703e-01,-2.799956217015350801e-02,4.979791055727278426e-02,1.214388888743188621e+00,3.803277758094999683e+00,3.433867401181005086e+00
-5.291451341615674986e-01,-4.698422992167658463e-02,5.089174671705395947e-02,1.216277777155240436e+00,3.813222205638885587e+00,3.431104966290089209e+00
-5.282886390437276924e-01,-6.959113801837643609e-02,4.904712993020141076e-02,1.222111112541622635e+00,3.989166638917393204e+00,3.415303856628375989e+00
-5.282886390437276924e-01,-6.959113801837643609e-02,4.904712993020141076e-02,1.227111114064852293e+00,4.133277761605050671e+00,3.413701658749448864e+00
-5.272118944438740629e-01,-8.843968625091641611e-02,4.782831925662660300e-02,1.231111111905839772e+00,4.165944416655434246e+00,3.409834252536626309e+00
-5.272118944438740629e-01,-8.843968625091641611e-02,4.782831925662660300e-02,1.237333335810237411e+00,4.247944420576095226e+00,3.252928158854911267e+00
-5.263347562663348578e-01,-1.072123813597987418e-01,3.178558333583914736e-02,1.240444442960951132e+00,4.457388870583640639e+00,3.202983407025837614e+00
-5.260899381349185555e-01,-1.261568480184222241e-01,-7.782527786683104097e-03,1.242888886067602394e+00,4.377944429053200359e+00,2.964585617102311943e+00
-5.260899381349185555e-01,-1.261568480184222241e-01,-7.782527786683104097e-03,1.244222220447328331e+00,4.578111078010665302e+00,2.793259661500625324e+00
-5.254850439670838425e-01,-1.453016444215942116e-01,-5.546937715556230636e-02,1.247166665726237911e+00,5.064611081613434429e+00,2.345193365002205432e+00
-5.277528841263722237e-01,-1.642803384774922104e-01,-1.025208118285192427e-01,1.248166668415069624e+00,5.476666628983285712e+00,2.232928171342249080e+00
-5.277528841263722237e-01,-1.642803384774922104e-01,-1.025208118285192427e-01,1.309166665871938084e+00,5.378888873259226600e+00,2.166243089496759922e+00
-5.303909505350999920e-01,-1.820289342164453650e-01,-1.615299515196818581e-01,1.364000002211994689e+00,5.372055531872643286e+00,2.103149167081927562e+00
-5.333791101751642616e-01,-2.009517989700483342e-01,-2.217884472766467607e-01,1.499555553330315538e+00,5.284055536323123192e+00,1.980000007218418956e+00
-5.333791101751642616e-01,-2.009517989700483342e-01,-2.217884472766467607e-01,1.555722217758496617e+00,5.356944428549872406e+00,1.930883989149694280e+00
-5.402718559029612289e-01,-2.271612922838060211e-01,-2.930842785405332607e-01,1.615888889961772490e+00,5.474055528640747070e+00,1.888287305831909180e+00
-5.404491298903012497e-01,-2.276712767861844289e-01,-2.930842785405332607e-01,1.758944440219137428e+00,5.216055532296498320e+00,1.808453032983600828e+00
-5.515842782970806768e-01,-2.323610344895405966e-01,-3.284480677957499761e-01,1.812777785129017216e+00,5.312611089812384613e+00,1.775580098615825442e+00
-5.547041820372801135e-01,-2.416240273099307667e-01,-3.566063155089632675e-01,1.844722222619586516e+00,5.330333316326141713e+00,1.745303857392369151e+00
-5.618758733352110513e-01,-2.595870400403030853e-01,-4.093945308257094240e-01,1.880333336194356386e+00,5.199055541886223430e+00,1.715303864268308276e+00
-5.651466179270580037e-01,-2.683815552315926833e-01,-4.362220805122804523e-01,1.953833332326677219e+00,5.307666644785139276e+00,1.667016572056554402e+00
-5.692873851500542814e-01,-2.767239566345119917e-01,-4.615892241082495961e-01,1.985166663593716185e+00,5.301888854636086279e+00,1.644143645934637021e+00
-5.783866995002434619e-01,-2.935032054181681005e-01,-5.152614885350245144e-01,2.021444443861643681e+00,5.282055523660448060e+00,1.624088402611115978e+00
-5.832407667163775900e-01,-3.021844276291191234e-01,-5.418148449876145634e-01,2.057944444815317908e+00,5.241555530495113580e+00,1.607458570385506214e+00
-5.939587793516279968e-01,-3.211102011979460880e-01,-5.984084821721458169e-01,2.140722217162450036e+00,5.406555519501368146e+00,1.576298337614997269e+00
-5.939587793516279968e-01,-3.211102011979460880e-01,-5.984084821721458169e-01,2.186111102501551162e+00,5.204222205612394347e+00,1.560939223726810043e+00
-5.978677894231277934e-01,-3.435557655184678927e-01,-6.439152554560747532e-01,2.229944438404507068e+00,5.169833303160137561e+00,1.551104967765386533e+00
-5.978677894231277934e-01,-3.435557655184678927e-01,-6.439152554560747532e-01,2.246611105733447467e+00,5.203666630718442931e+00,1.549889498652674114e+00
-5.957520094087408458e-01,-3.705961040847517984e-01,-6.283962730265345575e-01,2.236944433053334347e+00,5.171388873126772090e+00,1.553038666920108613e+00
-5.947566513634759966e-01,-3.958606563490132957e-01,-6.344793936592573180e-01,2.248388879166709042e+00,5.224444420470131689e+00,1.550662979236623773e+00
-5.947566513634759966e-01,-3.958606563490132957e-01,-6.344793936592573180e-01,2.256444434324900161e+00,5.330444414085811822e+00,1.547790048530747198e+00
-5.973007338687302825e-01,-4.206844163115098789e-01,-6.334178752982083660e-01,2.272666660944620887e+00,5.199666635195414166e+00,1.542762428357456361e+00
-6.038729918487567572e-01,-4.442411754376150990e-01,-6.296360575124576586e-01,2.284333324432373136e+00,5.186722187201182166e+00,1.538342541093984384e+00
-6.038729918487567572e-01,-4.442411754376150990e-01,-6.296360575124576586e-01,2.288277773062388221e+00,5.431666627857420160e+00,1.537569061827264383e+00
-6.017905461605629336e-01,-4.707235266939761575e-01,-6.303115893313231410e-01,2.294666663143369867e+00,5.282333303160137383e+00,1.534917128020228505e+00
-5.939429204870855239e-01,-5.029269431346958807e-01,-6.301475280701706039e-01,2.309277775552537548e+00,5.244222197930017870e+00,1.536408833377269190e+00
-5.939429204870855239e-01,-5.029269431346958807e-01,-6.301475280701706039e-01,2.306500003072950555e+00,5.152833299504385955e+00,1.537679553031921387e+00
-5.853930541636599427e-01,-5.369445613236787374e-01,-6.283731513220773834e-01,2.314999998278088000e+00,5.188222196367052064e+00,1.539116014433170587e+00
-5.853930541636599427e-01,-5.369445613236787374e-01,-6.283731513220773834e-01,2.321277779340744196e+00,5.009666645526886342e+00,1.538176790126779547e+00
-5.780783697211019367e-01,-5.677262998237924130e-01,-6.410832220437242546e-01,2.383833334181043817e+00,5.236166637473636420e+00,1.531270715413172612e+00
-5.722807837012392485e-01,-5.990560142104397467e-01,-7.175188328797956760e-01,2.437722212738461014e+00,5.054055530495113580e+00,1.527237568112367994e+00
-5.722807837012392485e-01,-5.990560142104397467e-01,-7.175188328797956760e-01,2.496222215228610430e+00,4.723333324988683302e+00,1.523646410657556016e+00
-5.706490189765592858e-01,-6.304663371704004593e-01,-7.680366942824939924e-01,2.544111104806264123e+00,4.781944441795348943e+00,1.520441989213722200e+00
-5.708154054506097141e-01,-6.538783556780782824e-01,-8.258639103052688446e-01,2.642166662878460137e+00,5.091611085335413733e+00,1.514917133262802862e+00
-5.708154054506097141e-01,-6.538783556780782824e-01,-8.258639103052688446e-01,2.684611109230253589e+00,4.983444408575693707e+00,1.516408839937072983e+00
-5.784478002828240539e-01,-6.855901555481525023e-01,-8.821491410130559707e-01,2.732333341572019680e+00,4.844722189505895393e+00,1.517955799129127703e+00
-5.858339628092125162e-01,-7.171088969651291389e-01,-9.393180098038164116e-01,2.836833341254128449e+00,4.548777748478783245e+00,1.522762427013881981e+00
-5.858339628092125162e-01,-7.171088969651291389e-01,-9.393180098038164116e-01,2.886944452259275540e+00,4.693055518468221443e+00,1.529392262848701334e+00
-5.850312219524186341e-01,-7.477264541441862589e-01,-9.961654797136755279e-01,2.936000001430511652e+00,4.738666632440355464e+00,1.540331492766491062e+00
-5.850312219524186341e-01,-7.477264541441862589e-01,-9.961654797136755279e-01,2.982444449265797992e+00,4.771666622824138670e+00,1.557016578168500143e+00
-5.819014419492641865e-01,-7.792793812919778240e-01,-1.049256393181214442e+00,3.035611106952031513e+00,4.474777758452627374e+00,1.591988951461749791e+00
-5.860163339155467499e-01,-8.107432956957303372e-01,-1.130800671464128326e+00,3.105277776055865857e+00,4.585055509540770124e+00,1.599060767921953508e+00
-5.860163339155467499e-01,-8.107432956957303372e-01,-1.130800671464128326e+00,3.482166661156548493e+00,4.273499947124057563e+00,1.604530379917081584e+00
-5.919191157704278838e-01,-8.416166768474205861e-01,-1.193957175519842817e+00,3.258666682243346990e+00,4.415111084447966405e+00,1.614696125299232454e+00
-6.042954329748858600e-01,-8.759263807660579992e-01,-1.258608321922668916e+00,3.412388892968495568e+00,4.274666624267895898e+00,1.661657457852231845e+00
-6.042954329748858600e-01,-8.759263807660579992e-01,-1.258608321922668916e+00,3.491111118263668267e+00,4.054888851443926079e+00,1.732209948545002876e+00
-6.028532681013657468e-01,-9.113834074205995339e-01,-1.331941061069779275e+00,3.824722225136226950e+00,3.663222195042504126e+00,1.847458579263634437e+00
-6.028532681013657468e-01,-9.113834074205995339e-01,-1.331941061069779275e+00,4.426666641235351918e+00,3.191499984595510764e+00,1.960386746496126875e+00
-5.986696545042852202e-01,-9.503794381768764232e-01,-1.402073392850999189e+00,4.978111075030432708e+00,2.489722235666381067e+00,2.233259668666355058e+00
-5.980804081728169352e-01,-9.883155620731367552e-01,-1.479653670038084234e+00,5.231277742650774165e+00,2.173555554283989721e+00,2.380497232985101519e+00
-5.980804081728169352e-01,-9.883155620731367552e-01,-1.479653670038084234e+00,5.493833290206061370e+00,1.779833327730496739e+00,2.555469598559384714e+00
-5.980804081728169352e-01,-9.883155620731367552e-01,-1.479653670038084234e+00,6.095277692211999110e+00,1.194666671090655941e+00,2.678342534692248034e+00
-6.117042575622554379e-01,-1.056175555675828770e+00,-1.660703060182810775e+00,6.110499940978156630e+00,1.104277781645456979e+00,2.875414364904330000e+00
-6.165126765078118298e-01,-1.069991563803858181e+00,-1.704132596054849680e+00,6.429833251900142876e+00,1.034888898001776747e+00,2.771381210227038761e+00
-6.165126765078118298e-01,-1.069991563803858181e+00,-1.704132596054849680e+00,5.834833279583189203e+00,9.861111197206708923e-01,2.929502760507783687e+00
-6.255214302338173438e-01,-1.088436656538355862e+00,-1.787846632037533912e+00,6.659277692768308832e+00,9.527222186326980147e-01,3.114972359567715898e+00
-6.212757245197108036e-01,-1.079098579901933919e+00,-1.870010276576883790e+00,6.166944380601247389e+00,9.522222197718090975e-01,2.885801106526706850e+00
-6.212757245197108036e-01,-1.079098579901933919e+00,-1.870010276576883790e+00,6.418333251608742351e+00,9.572777711682849411e-01,3.366022074420149224e+00
-6.228590714321265986e-01,-1.078737248567902318e+00,-1.968223814333368571e+00,6.691388801402515796e+00,9.626666592227087760e-01,3.661767928639828362e+00
-6.259795510283040487e-01,-1.085268171786226699e+00,-2.048252628905121941e+00,6.187055472532907885e+00,9.808888786368900048e-01,3.783922615630850750e+00
-6.259795510283040487e-01,-1.085268171786226699e+00,-2.048252628905121941e+00,6.433999913599755871e+00,9.923888822396595977e-01,4.226022038011919335e+00
-6.335335730199319615e-01,-1.100036822286788452e+00,-2.131623755213052362e+00,6.392388780580626317e+00,1.000888885392082983e+00,4.306408796521181692e+00
-6.335335730199319615e-01,-1.100036822286788452e+00,-2.131623755213052362e+00,6.153555457128418560e+00,1.014277781711684367e+00,5.571325894218782437e+00
-6.530168389119409555e-01,-1.129342179069640295e+00,-2.224312852391808093e+00,5.944777675800853700e+00,1.015111107958687642e+00,5.752265120738119464e+00
