X,Y,ORIENTATION,LS 0-179,LC 180-359,LD 360-539
-8.228776345238448808e-01,-3.146701559831636963e-02,7.620073777693643635e-02,6.181111120515399016e-01,1.901944439609845494e+00,4.577900537469768771e+00
-8.375509729997241415e-01,-3.246599962504871650e-02,7.606422529496353890e-02,6.167777791619301064e-01,1.912444442427820634e+00,4.451546961431345650e+00
-8.538991874540681204e-01,-3.382106625162831226e-02,7.619713301201469502e-02,6.217777781188488229e-01,1.772166665809022046e+00,4.445027627997635733e+00
-8.745616184971778395e-01,-3.548855099794451240e-02,7.461514588072745702e-02,6.364444446232583319e-01,1.802277784711784792e+00,4.463756906393482993e+00
-8.976275393973175420e-01,-3.741875000886890623e-02,7.442919368829620241e-02,6.605555569132168792e-01,2.284944434629546439e+00,4.542375687077559121e+00
-9.213590814808974017e-01,-3.879812127527589027e-02,7.607025588989535514e-02,7.685555564032660048e-01,2.156611108779907138e+00,4.520276213219152517e+00
-9.666964017540348175e-01,-4.148315802926408336e-02,7.401300577376726531e-02,8.239999988012843835e-01,2.140444443292087939e+00,4.450331466632653665e+00
-9.875210524017680180e-01,-4.317202314046308942e-02,7.373924279009923255e-02,8.442777771088811889e-01,2.398055547475814731e+00,4.573370147146572862e+00
-1.029592193181188886e+00,-4.670232698599516286e-02,7.475977611648453036e-02,8.672222238447930831e-01,2.705666663083765133e+00,4.581215443532110854e+00
-1.052219338518307845e+00,-4.859750502103629688e-02,7.415522242325268965e-02,8.918888900015089494e-01,2.361444451742702011e+00,4.386022093546324996e+00
-1.075382931575550094e+00,-5.109105704951986959e-02,7.407667083729774227e-02,9.362777748041682946e-01,2.501055555045604617e+00,4.410718222349387929e+00
-1.097927687902151117e+00,-5.303527681154389384e-02,7.433853671502062277e-02,9.592777752214007858e-01,2.964722208844290829e+00,4.598674024666212112e+00
-1.120206413596930517e+00,-5.451799344950153392e-02,7.472196026791881607e-02,9.823333323001861572e-01,2.853888868954446600e+00,4.343425414838843146e+00
-1.162832438427874093e+00,-5.696964578774924015e-02,7.374305448292568788e-02,1.022388887074258568e+00,3.489444408482975213e+00,4.168121539426771882e+00
-1.185217822601629223e+00,-5.858999040246803958e-02,7.293267340665687826e-02,1.043555556403266138e+00,2.960999990502993118e+00,4.313259638475449798e+00
-1.209801467072291192e+00,-6.623608763301008784e-02,7.489393642743383261e-02,1.061888885166909935e+00,3.136388881338967316e+00,4.362154655035029194e+00
-1.254340793062326931e+00,-6.952916932601874156e-02,7.434963854751196199e-02,1.082777777976460021e+00,3.026333323121070951e+00,4.056298316512977564e+00
-1.275741950642182765e+00,-7.111663074053384270e-02,7.406720781778766693e-02,1.117888891365792947e+00,3.243222202195061410e+00,4.097348044590396476e+00
-1.297534563988079759e+00,-7.298222295566272888e-02,7.431894533708600925e-02,1.136777779459953397e+00,3.623111090064048856e+00,4.015801088586037793e+00
-1.319534363525638909e+00,-7.457244868065539267e-02,7.471884460335539990e-02,1.153944444325235130e+00,3.358555546071794407e+00,3.855801097595889182e+00
-1.364386361507000878e+00,-7.775553966751233559e-02,7.463578024941695810e-02,1.167222223348087784e+00,3.429555543926027017e+00,3.798729266909604441e+00
-1.386271131824790448e+00,-7.939582649070435483e-02,7.533155936838135946e-02,1.198500001099374490e+00,3.562277771366967105e+00,3.770055243982135984e+00
-1.407919711375767324e+00,-8.119267524146192572e-02,7.428859695975841004e-02,1.208111109998491139e+00,3.620944430099593436e+00,3.588839763435869745e+00
-1.435842335610112874e+00,-8.087044132826702592e-02,7.705763485160427306e-02,1.230111111203829433e+00,4.071833311518033405e+00,3.561657461013583159e+00
-1.457707240468712806e+00,-8.233982772778279668e-02,7.723526503229138918e-02,1.248166665765974237e+00,3.823111094699965573e+00,3.632596653469359893e+00
-1.501279240256965020e+00,-8.500735687679764063e-02,7.690980315992336502e-02,1.280166664388444620e+00,3.950277754664420993e+00,3.551215441187442146e+00
-1.523078870608092439e+00,-8.686378394844648798e-02,7.658484615947525054e-02,1.296555553542243056e+00,3.901111092832353577e+00,3.260939219379952014e+00
-1.551789856538613677e+00,-8.973696787249448026e-02,7.770392079772714400e-02,1.311722218659189032e+00,4.183722188406520104e+00,3.235524863827953013e+00
-1.549468649340519866e+00,-8.970348533841117356e-02,7.752423487776115285e-02,1.329944444033834605e+00,4.120388881034321216e+00,3.443646408576332973e+00
-1.540917327985023455e+00,-8.858208926413249640e-02,7.892935244606251455e-02,1.320333333810170595e+00,4.064333311716715080e+00,3.235966847087796694e+00
-1.534267513017816720e+00,-8.783432228394344454e-02,7.856196219081128251e-02,1.312722216380967089e+00,3.786499972475899423e+00,3.246243087626293988e+00
-1.533738982243741944e+00,-8.745500895499914995e-02,7.807816725302463290e-02,1.310111105110910223e+00,3.786888862649599563e+00,3.247071824021102504e+00
-1.540337016972576523e+00,-8.820807981100617368e-02,7.900738674131989325e-02,1.315833332803514333e+00,4.030499988132053346e+00,3.236740331623435551e+00
